report_date,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
2013-01-15,447773,192955,47839,34546,156010,341123,64262,24265
2013-01-22,461369,195795,43898,46176,153048,348998,66350,22297
2013-01-29,430718,181103,54155,26035,159776,326873,63804,23655
2013-02-05,423982,192806,55341,24811,145291,319898,61074,23932
2013-02-12,435088,193941,67106,24521,154573,315226,62053,28235
2013-02-19,447290,195870,92219,30882,158900,290982,61638,33207
2013-02-26,433858,201956,85357,25267,151145,288765,55490,34469
2013-03-05,434586,195248,87661,31003,150453,284251,57882,31671
2013-03-12,445651,201617,87110,35982,149550,291671,58502,30888
2013-03-19,440712,208895,73285,37122,136677,299041,58018,31264
2013-03-26,419727,200389,67943,24431,139588,298061,55319,29292
2013-04-02,417176,202634,82428,25084,137205,279727,52253,29937
2013-04-09,416513,203812,84453,23873,135855,279657,52973,28530
2013-04-16,413083,204677,75795,18067,144522,286451,45817,32770
2013-04-23,415074,197188,92933,21887,156131,260519,39868,39735
2013-04-30,421087,193310,96258,20115,170211,265774,37451,38940
2013-05-07,437931,189343,99920,23851,186671,274390,38066,39770
2013-05-14,443806,186921,103195,25713,190502,274648,40670,40250
2013-05-21,446087,189401,109142,22414,192147,276269,42125,38262
2013-05-28,411001,172565,115686,21758,171995,231216,44683,42341
2013-06-04,373061,170971,109771,18663,147497,209149,35930,35478
2013-06-11,373844,174015,115010,17566,146470,204792,35793,36476
2013-06-18,377106,166771,123079,17807,155303,199418,37225,36802
2013-06-25,390647,164901,130749,21858,164958,200166,38930,37874
2013-07-02,410399,158712,137961,27133,186385,209161,38169,36144
2013-07-09,431574,160214,143657,31041,202617,221658,37702,35218
2013-07-16,440283,156571,133109,23071,222746,247353,37895,36750
2013-07-23,434750,161197,127006,25291,210233,244929,38029,37524
2013-07-30,397035,154519,126153,19841,188832,214606,33843,36435
2013-08-06,396062,153812,102177,18480,187636,241795,36134,33610
2013-08-13,390547,148524,94598,19182,184321,245195,38520,31572
2013-08-20,385410,151348,90952,20004,176610,244275,37448,30179
2013-08-27,384102,150074,71785,18030,175698,263336,40300,30951
2013-09-03,388584,151951,73760,15676,177861,270322,43096,28826
2013-09-10,384164,141506,72782,19183,184972,265196,38503,27003
2013-09-17,384592,138956,80160,18329,188729,254066,38578,32037
2013-09-24,378216,140468,73329,18461,183688,255215,35599,31211
2013-10-01,374151,141541,68494,16891,179659,257787,36060,30979
2013-10-08,370406,140207,57890,17192,176330,266746,36677,28578
2013-10-15,381727,139663,77730,17157,188890,253714,36017,33126
2013-10-22,390369,147835,71170,22618,183393,265541,36523,31040
2013-10-29,387166,153409,53173,21935,174866,281653,36956,30405
2013-11-05,386796,149031,57895,23652,178714,272614,35399,32635
2013-11-12,403840,144062,82710,29266,190317,256102,40195,35762
2013-11-19,397590,140853,92733,28833,190106,241621,37798,34403
2013-11-26,394432,133414,106859,27046,196011,224247,37961,36280
2013-12-03,386436,134546,111855,24091,190092,212391,37707,38099
2013-12-10,377313,133866,107486,22627,183319,212281,37501,34919
2013-12-17,385432,133068,107164,24163,191045,218144,37156,35961
2013-12-24,384974,135390,108051,24226,188511,215029,36847,37668
2013-12-31,379550,137182,104959,22650,182101,215122,37617,36819
2014-01-07,383021,139244,100357,26197,179334,221218,38246,35249
2014-01-14,415426,145857,101844,32702,199650,244905,37217,35975
2014-01-21,410959,146018,99435,28205,200101,246192,36635,37127
2014-01-28,382739,150158,83817,22502,176630,241609,33449,34811
2014-02-04,368279,147754,82815,23424,165354,231136,31747,30904
2014-02-11,376973,156786,85585,22664,162156,234810,35367,33914
2014-02-18,390535,164478,79847,27630,159449,251200,38978,31858
2014-02-25,387503,169870,60406,21879,155969,272632,39785,32586
2014-03-04,393266,171404,56238,26853,157838,278987,37171,31188
2014-03-11,415340,170482,51592,40601,163920,289287,40337,33860
2014-03-18,420626,183324,46510,32699,164293,310227,40310,31190
2014-03-25,398264,169083,51766,30361,159979,287600,38841,28537
2014-04-01,363451,158152,58007,21496,143575,257604,40228,26344
2014-04-08,365400,149693,61094,24181,151954,253697,39572,26428
2014-04-15,369577,147432,68140,25898,157917,245522,38330,30017
2014-04-22,372593,146880,65047,24052,162799,253325,38862,30169
2014-04-29,378092,147769,62542,28235,162815,259986,39273,27329
2014-05-06,404700,160982,63026,35948,167794,278265,39976,27461
2014-05-13,397029,157176,65542,33867,164941,267262,41045,30358
2014-05-20,399371,157398,60907,38192,164289,270299,39492,29973
2014-05-27,397695,155615,82224,35612,162078,240716,44390,39143
2014-06-03,382141,157332,98181,28406,159545,222989,36858,32565
2014-06-10,378689,159567,98440,26148,156553,219703,36421,34398
2014-06-17,379843,162052,83757,26131,157023,235348,34637,34607
2014-06-24,392388,183433,62574,24959,142864,274471,41132,30384
2014-07-01,401813,201287,55262,21991,135444,295899,43091,28661
2014-07-08,410992,203464,53443,27240,135998,302001,44290,28308
2014-07-15,408368,199950,57492,28562,138542,295448,41314,26866
2014-07-22,405617,197835,51689,31486,134809,295000,41487,27442
2014-07-29,374467,188980,49827,21619,126297,275229,37571,27792
2014-08-05,360342,176386,54923,22884,123492,255134,37580,27401
2014-08-12,368114,191325,43644,21718,113862,274549,41209,28203
2014-08-19,366401,183846,45870,20400,122377,270039,39778,30092
2014-08-26,363608,172022,58853,23465,127433,250981,40688,30309
2014-09-02,371515,172522,75643,24631,134701,238408,39661,32833
2014-09-09,384341,177555,82414,26286,141921,239876,38579,35765
2014-09-16,386080,170749,98562,29320,145480,221723,40531,36475
2014-09-23,385788,170382,106498,30538,148615,212934,36253,35818
2014-09-30,379874,171075,106205,27803,145396,206125,35600,39741
2014-10-07,380087,174075,107628,27007,143466,206873,35539,38579
2014-10-14,397855,193580,108165,30035,140637,219460,33603,40195
2014-10-21,411057,207129,99145,30768,139429,244327,33731,36817
2014-10-28,414410,195885,95146,39781,146345,245209,32399,34274
2014-11-04,417377,176899,113674,44595,161667,216974,34216,42134
2014-11-11,443422,177268,121225,46591,184326,234350,35237,41256
2014-11-18,459657,187955,106533,44726,193668,264665,33308,43733
2014-11-25,388145,167394,91187,31561,156334,224819,32856,40578
2014-12-02,368121,170635,81305,27571,135777,225185,34138,34060
2014-12-09,375323,186861,71999,25322,125091,241692,38049,36310
2014-12-16,371743,182147,63739,23796,132868,247959,32932,36249
2014-12-23,375212,180980,70070,28208,134796,240021,31228,36913
2014-12-30,373982,182897,67060,30659,125818,238952,34608,37311
2015-01-06,394021,187705,65527,40899,130427,253099,34990,34496
2015-01-13,402108,192959,62733,40729,129436,267112,38984,31534
2015-01-20,430128,223257,60802,42480,120946,298756,43445,28090
