report_date,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
2019-08-27,525065,173451,212255,12779,255401,239344,83434,60687
2019-09-03,546954,186144,235280,13876,263544,236079,83390,61719
2019-09-10,585117,180535,230377,20866,303836,270876,79880,62998
2019-09-17,503272,164272,232831,9694,252628,207122,76678,53625
2019-09-24,502612,160687,221409,11998,250286,211326,79641,57879
2019-10-01,511934,172258,238236,10181,247476,206802,82019,56715
2019-10-08,514638,162777,238190,11597,260777,206186,79487,58665
2019-10-15,517182,153261,230127,17090,264794,214307,82037,55658
2019-10-22,528545,168653,219703,12983,264350,242340,82559,53519
2019-10-29,538847,166540,219895,11596,277771,251937,82940,55419
2019-11-05,563336,164183,224929,16970,297733,265666,84450,55771
2019-11-12,569527,170250,227919,10792,300579,273909,87906,56907
2019-11-19,577689,163898,226401,16020,310291,278082,87480,57186
2019-11-26,578450,169916,231332,10906,308994,277623,88634,58589
2019-12-03,590124,164392,233441,16006,321158,285706,88568,54971
2019-12-10,646417,164732,232375,22164,363680,325511,95841,66367
2019-12-17,542923,165355,231049,11485,288313,244275,77770,56114
2019-12-24,540395,160263,233206,13131,282401,241064,84600,52994
2019-12-31,557585,168852,243197,13523,285490,245540,89720,55325
2020-01-07,555940,164813,226477,12802,288408,263100,89917,53561
2020-01-14,571239,163881,212063,18084,297419,288854,91855,52238
2020-01-21,582164,168216,215235,17943,302385,295283,93620,53703
2020-01-28,598793,180653,239515,13248,311346,291195,93546,54835
2020-02-04,594698,166925,242005,12963,321548,283559,93262,56171
2020-02-11,612444,169475,255144,14252,338132,281706,90585,61342
2020-02-18,617487,170586,262093,13588,340245,282010,93068,59796
2020-02-25,625563,157587,271608,22229,355329,270784,90418,60942
2020-03-03,640357,151904,238607,18922,385539,329833,83992,52995
2020-03-10,659151,153820,166487,17667,397574,424702,90090,50295
2020-03-17,588116,147133,114638,10612,352847,419664,77524,43202
2020-03-24,571086,152360,91070,11009,326218,414867,81499,54140
2020-03-31,551752,155047,80800,10205,315522,415776,70978,44971
2020-04-07,554697,161185,81561,7089,304521,422120,81902,43927
2020-04-14,543361,165078,78461,5598,296805,417530,75880,41772
2020-04-21,546661,170378,83160,5961,297719,413092,72603,44448
2020-04-28,545082,167264,87583,11596,291497,399179,74725,46724
2020-05-05,541624,169272,92973,6642,290624,393234,75086,48775
2020-05-12,547329,171980,93840,6488,294370,400827,74491,46174
2020-05-19,547206,167756,95194,6820,295367,397961,77263,47231
2020-05-26,556749,175034,99812,7179,298419,404675,76117,45083
2020-06-02,583384,174412,93172,14831,312787,429985,81354,45396
