opt_type,entry_date,exp_date,S0,S_exit,K_short,K_long,width,width_pct,contracts,gross_credit,net_credit,cost_short,cost_long,total_cost,max_loss,payoff,realized_pnl,realized_pnl_sized,ret_on_credit,ret_on_max_loss,win,loss_amount,hit_full_max_loss,expired_worthless_short,group,width_name
put,2006-06-01,2006-07-07,88.7463607788086,87.67066192626953,84.16850907080591,82.39358185522974,1.7749272155761702,0.02,16.942518617373786,12.855468514172808,12.200431488658959,0.4882118691840853,0.16682515632976402,0.6550370255138493,165.29229006895804,0.0,12.200431488658959,206.70603763659778,1.0,0.07381125570690006,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2006-06-01,2006-07-07,88.7463607788086,87.67066192626953,94.60403517135475,96.37896238693092,1.7749272155761702,0.02,16.78742648550729,11.330234531227035,10.673363973574322,0.4700632104666952,0.18680734718601738,0.6568705576527125,166.8193575840427,0.0,10.673363973574322,179.17831305944088,1.0,0.0639815674161024,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2006-07-10,2006-08-16,87.83683776855469,89.8102798461914,83.41542851233234,81.65869175696125,1.7567367553710938,0.02,17.15396685772718,12.599588443003551,11.96895276911503,0.47281269248180546,0.15782298140671613,0.6306356738885216,163.70472276799435,0.0,11.96895276911503,205.31501912310117,1.0,0.073113057257839,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2006-07-10,2006-08-16,87.83683776855469,89.8102798461914,93.52646888361711,95.2832056389882,1.7567367553710938,0.02,17.002487304463838,11.14308951638816,10.510465088581117,0.4556008328583744,0.17702359494866926,0.6326244278070436,165.16321044852828,0.0,10.510465088581117,178.70404923261083,1.0,0.0636368417642052,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2006-08-17,2006-09-22,90.03878784179688,91.43633270263672,86.15556614689199,84.35479039005605,1.8007757568359324,0.02,16.702538824025115,12.020547737430443,11.48848872800223,0.4162863514319881,0.11577265799622566,0.5320590094282138,168.589086955591,0.0,11.48848872800223,191.88692900883214,1.0,0.06814491338356009,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2006-08-17,2006-09-22,90.03878784179688,91.43633270263672,95.07641165369765,96.87718741053358,1.8007757568359324,0.02,16.589095211836195,10.870251262539998,10.335601559916746,0.4032029920933766,0.13144671052987625,0.5346497026232528,169.7419741236765,0.0,10.335601559916746,171.4582783490616,1.0,0.06089007514656378,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2006-09-25,2006-11-01,92.13880157470705,95.18499755859376,88.15964109401325,86.31686506251911,1.8427760314941395,0.02,16.365901024368377,12.32393229830726,11.776702030294583,0.42766428773517995,0.11956598027749663,0.5472302680126766,172.50090111911936,0.0,11.776702030294583,192.73633982127924,1.0,0.06827037977130485,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2006-09-25,2006-11-01,92.13880157470705,95.18499755859376,97.32495056414972,99.16772659564386,1.8427760314941395,0.02,16.25396515435348,11.138622512317697,10.588743383788543,0.4141723456685481,0.13570678286060553,0.5498791285291537,173.6888597656254,0.0,10.588743383788543,172.10906598848993,1.0,0.0609638603078915,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
put,2006-11-02,2006-12-08,95.12938690185548,98.35645294189452,91.318790915848,89.41620317781089,1.9025877380371128,0.02,15.855118263507537,12.25390008511491,11.740421849148348,0.4099128690472187,0.10356536691934412,0.5134782359665628,178.51835195456295,0.0,11.740421849148348,186.14577688171488,1.0,0.06576590989444356,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
call,2006-11-02,2006-12-08,95.12938690185548,98.35645294189452,100.11127269302622,102.01386043106334,1.9025877380371128,0.02,15.760446694547808,11.184232880029299,10.668078355642486,0.39788017319377367,0.11827435119303939,0.5161545243868131,179.59069544806877,0.0,10.668078355642486,168.1336802573626,1.0,0.05940217742921606,True,0.0,False,True,"UNFILTERED (control, no IV condition)",2pct
