opt_type,entry_date,exp_date,S0,K,S_exit,prem_mid,prem_recv,margin,payoff,realized_pnl,ret_on_prem,ret_on_margin,expired_worthless,win,leg,group
call,2009-04-06,2009-05-13,61.41569137573242,73.53225457048339,65.14765167236328,0.3593585014366649,0.35037453890074827,770.3599995949087,0.0,35.03745389007483,1.0,0.04548192261864474,True,True,call,"UNFILTERED (control, no IV condition)"
call,2009-05-14,2009-06-19,65.70597076416016,75.24414774014535,67.99797821044922,0.2943736413942615,0.28701430035940495,781.142907437394,0.0,28.701430035940493,1.0,0.03674286710238205,True,True,call,"UNFILTERED (control, no IV condition)"
call,2009-06-22,2009-07-29,65.95892333984375,75.61847997350152,72.142578125,0.29758666334225037,0.2901469967586941,785.1994994108848,0.0,29.01469967586941,1.0,0.03695200990020804,True,True,call,"UNFILTERED (control, no IV condition)"
call,2009-07-30,2009-09-04,72.89613342285156,81.36007577895933,75.40064239501953,0.2664410262812522,0.2597800006242209,839.5787578520154,0.0,25.97800006242209,1.0,0.03094170715905724,True,True,call,"UNFILTERED (control, no IV condition)"
call,2009-09-08,2009-10-15,76.05076599121094,85.09995645190223,81.43843841552734,0.28403967420622944,0.2769386823510737,878.6934327541296,0.0,27.69386823510737,1.0,0.03151709936912262,True,True,call,"UNFILTERED (control, no IV condition)"
call,2009-10-16,2009-11-20,80.82970428466797,88.57998052242593,81.2305679321289,0.24711524463792855,0.24093736352198034,909.8935415764574,0.0,24.093736352198032,1.0,0.026479731145749055,True,True,call,"UNFILTERED (control, no IV condition)"
call,2009-11-23,2009-12-30,82.26239013671875,90.29516279555679,83.97398376464844,0.255218419369343,0.2488379588851094,927.835423844079,0.0,24.88379588851094,1.0,0.026819191474082602,True,True,call,"UNFILTERED (control, no IV condition)"
call,2009-12-31,2010-02-05,83.16796875,91.36619384197257,79.60062408447266,0.2606960476441138,0.25417864645301097,939.079803065027,0.0,25.417864645301098,1.0,0.027066778097389266,True,True,call,"UNFILTERED (control, no IV condition)"
call,2010-02-08,2010-03-17,79.02598571777344,88.77177691411973,87.39203643798828,0.30505538395744924,0.297428999358513,917.4606690770485,0.0,29.7428999358513,1.0,0.032418719339513714,True,True,call,"UNFILTERED (control, no IV condition)"
call,2010-03-18,2010-04-23,87.34725952148438,93.93319864886713,91.2814712524414,0.21125597576602395,0.20597457637187336,1108.948735328599,0.0,20.597457637187336,1.0,0.01857385917040068,True,True,call,"UNFILTERED (control, no IV condition)"
