instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,win_rate,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges
NAS100,M30,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",1460,PASS,1.0021458249678743,0.9104366288607043,-0.604902132445911,-0.13552183819098654,1.3123490361956511,0.6772193622783587,0.0012977517729066078,0.05886180448002498,-0.05756405270711838,72.59249999999975,0.36027397260273974,391,861,208,2014,839,621,0.9740007432894952,0.8308799226868703,-0.23151944047238704,-1.5582803910830183,0.1276595744680851,94
NAS100,M30,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",4416,PASS,0.9846365195724639,0.8121890267902779,-2.2728281411951907,-0.45844548082020675,1.05238674173428,0.9947814317545283,-0.008139772914380639,0.10262037354225671,-0.11076014645663736,45.725223214285506,0.41417572463768115,1376,2241,799,2018,2551,1865,0.8122072689285537,0.8121637687719392,-2.3894366184107065,-2.5052136061712584,0.1276595744680851,94
NAS100,M30,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",1099,PASS,0.9816806326263618,0.872520236789528,-0.7832322980331963,0.043490015700192,1.5957671309212018,0.7225096747098483,-0.010886058785525184,0.07074307916842983,-0.081629137953955,63.238928571427095,0.3721565059144677,271,637,191,2018,644,455,0.8871009355883752,0.8526332955119332,-0.9432120822850089,-1.3239377997380393,0.02127659574468085,94
NAS100,M30,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",734,PASS,1.0108565572482093,0.9194358057077303,-0.4066272326171994,0.3525987502333149,2.837129903732991,0.4517593812450421,0.006419534820674803,0.057110536716239065,-0.05069100189556427,73.93485714285816,0.3787465940054496,191,428,115,1994,419,315,1.0008964044076003,0.8194251021071715,0.007231974555445417,-1.593356966728882,0.02127659574468085,94
NAS100,M30,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",1357,PASS,0.9874822765281622,0.8656920548545441,-0.8841452959689826,0.18801226205870017,1.8790051724354462,0.8630082139618431,-0.008479704983069993,0.09145683899712295,-0.09993654398019293,49.202678571428805,0.2969786293294031,242,904,211,2018,797,560,0.8523695921153199,0.8849268917656691,-1.2793211586466315,-0.9912930513177526,0.10638297872340426,94
NAS100,H1,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",1429,PASS,1.0115179855546073,0.9196038419474537,-0.6625139334835519,0.5828182899638571,1.074316205028853,0.6327467952587361,0.005699418326082441,0.04786921565715181,-0.04216979733106938,92.87185714285442,0.42477256822953113,232,657,540,2014,824,605,0.9113636812905266,0.9306642765782046,-0.7061469261024607,-0.5698976639264208,0.0425531914893617,94
NAS100,H1,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",1225,PASS,0.994026722312792,0.911608263819122,-0.623623613130799,0.34590409152001206,0.5857316058005524,0.5468965554216428,-0.002984094341081716,0.043382501248020025,-0.04636659558910175,105.95567857142669,0.4440816326530612,330,579,316,2014,706,519,0.9355574392506024,0.8810793542118789,-0.5229593000351421,-1.009870565082,0.010638297872340425,94
NAS100,H1,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",1336,PASS,1.021837482604993,0.944603700648713,-0.502059593278675,1.316619673571896,2.5368875792749543,0.6203510972148943,0.012138634287541875,0.04456739126901428,-0.03242875698147241,106.97698214285629,0.36751497005988026,136,697,503,2017,784,552,0.8935218194535028,1.0154675675935132,-0.8311415984666306,0.11158409765238338,0.10638297872340426,94
NAS100,H1,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",1978,PASS,1.0826534817741436,0.975422239565898,-0.2148025014716056,0.5169096919407719,0.7989187039309509,0.4958635050630494,0.04629564798315505,0.060979155384204134,-0.014683507401049078,66.65167857142751,0.38827098078867545,510,1074,394,2017,1143,835,0.9889706318121418,0.9574758454564224,-0.09511865277235097,-0.3971003579953947,0.13829787234042554,94
NAS100,H1,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",1248,PASS,1.1038396973155826,0.9976079737346575,-0.04846671358435066,0.9242173128899999,2.1739697681121006,0.39361069958591954,0.06027120268060038,0.06175110344915984,-0.0014799007685594994,65.18960714285822,0.38301282051282054,357,705,186,2014,738,510,0.9442298828194174,1.0785812858218347,-0.4793394562468445,0.6458032356957885,0.09574468085106383,94
NAS100,H1,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",1871,PASS,1.0292764875571259,0.941262256947846,-0.4647536381523922,0.30027651356658475,0.6647659109259783,0.5448333202752593,0.01436110318419906,0.04464920214261373,-0.030288098958414663,89.47489285714073,0.4350614644575094,531,870,470,2017,1078,793,0.9907850897505448,0.8796448925501748,-0.07748144832702689,-1.1757319689531327,0.10638297872340426,94
NAS100,H1,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",1247,PASS,0.8912288314105231,0.7673413150092336,-1.551824873229925,-0.8973290913847092,3.447362512877585,0.8595284750733495,-0.06325808210720635,0.08420408554526017,-0.14746216765246653,51.60971428571793,0.3913392141138733,402,710,135,2017,759,488,0.7705859062403879,0.7621537639399962,-2.3483671471627434,-2.4088010331844827,0.0,94
