entry_date,exp_date,S0,K,S_exit,prem_paid_total,payoff,realized_pnl,ret_on_prem,expired_worthless
2010-01-04,2010-02-03,83.16796875,79.0095703125,81.96644592285156,0.018213121485189932,0.0,-0.018213121485189932,-1.0,True
2010-03-01,2010-03-31,82.64555358886719,78.51327590942383,87.67699432373047,0.01792246218323112,0.0,-0.01792246218323112,-1.0,True
2010-04-01,2010-04-30,87.67699432373047,83.29314460754394,89.03334045410156,0.018827429324769197,0.0,-0.018827429324769197,-1.0,True
2010-05-03,2010-06-02,89.03334045410156,84.58167343139648,82.67864990234375,0.01893087923391658,0.06052191219985001,0.04159103296593343,2.196994257478485,False
2010-07-01,2010-07-30,77.71858978271484,73.8326602935791,83.02684020996094,0.016961799132043622,0.0,-0.016961799132043622,-1.0,True
2010-08-02,2010-09-01,83.02684020996094,78.87549819946288,81.66399383544922,0.017942608347944877,0.0,-0.017942608347944877,-1.0,True
2010-10-01,2010-10-29,86.39324188232422,82.07357978820801,89.69361114501953,0.018485436349341255,0.0,-0.018485436349341255,-1.0,True
2010-11-01,2010-12-01,89.69361114501953,85.20893058776855,91.60122680664062,0.019003053447784808,0.0,-0.019003053447784808,-1.0,True
2011-01-03,2011-02-02,95.68985748291016,90.90536460876464,99.2967758178711,0.020075303712804648,0.0,-0.020075303712804648,-1.0,True
2011-03-01,2011-03-31,101.32090759277344,96.25486221313476,101.33307647705078,0.021047277312554777,0.0,-0.021047277312554777,-1.0,True
2011-04-01,2011-04-29,101.33307647705078,96.26642265319823,104.2678680419922,0.02085333778122162,0.0,-0.02085333778122162,-1.0,True
2011-05-02,2011-06-01,104.2678680419922,99.05447463989259,100.78282165527344,0.02124354924246527,0.0,-0.02124354924246527,-1.0,True
2011-07-01,2011-07-29,101.35931396484376,96.29134826660157,99.3316421508789,0.020444108535052692,0.0,-0.020444108535052692,-1.0,True
2011-08-01,2011-08-31,99.3316421508789,94.36506004333495,93.8708038330078,0.019839702032780623,0.01060596452148424,-0.009233737511296383,-0.46541714669099965,False
2011-09-01,2011-09-30,93.8708038330078,89.1772636413574,87.35421752929688,0.018786448540044073,0.02497696063556822,0.006190512095524146,0.32952008370974534,False
2011-10-03,2011-11-02,87.35421752929688,82.98650665283203,95.72293853759766,0.017564479645239488,0.0,-0.017564479645239488,-1.0,True
