label,N,k_atr,R,H,is_baseline,n_trades,guard,gross_pf,net_pf,sharpe,max_dd,win_rate,top_year_share,n_pos_years,n_years
EXT_N20_katr5.0_R0.25_H24,20,5.0,0.25,24,False,581,PASS,1.272197884183221,1.2153855843803276,1.3043706040021623,0.031798894807545684,0.6901893287435457,0.26090834600856266,8,8
EXT_N20_katr3.5_R0.25_H24,20,3.5,0.25,24,False,657,PASS,1.2682273272700018,1.199124081396427,1.1002819531791888,0.06901251060413863,0.7442922374429224,0.2895409283772188,7,8
EXT_N20_katr4.0_R0.15_H24,20,4.0,0.15,24,False,718,PASS,1.2013999719696247,1.1146686679781104,0.795379147244193,0.05847116178335706,0.8133704735376045,0.2953387864257826,7,8
EXT_N20_katr4.0_R0.35_H24,20,4.0,0.35,24,False,565,PASS,1.3085400273604397,1.2528951920160885,1.26138339892505,0.037076831786885964,0.6637168141592921,0.24774313747753507,8,8
EXT_N20_katr4.0_R0.25_H12,20,4.0,0.25,12,False,657,PASS,1.1319104836367988,1.0653390298796561,1.5310997097408519,0.031707333883919664,0.6636225266362252,0.2892861079256025,6,8
EXT_N20_katr4.0_R0.25_H18,20,4.0,0.25,18,False,641,PASS,1.269319539252761,1.201670251757615,1.6443226247603846,0.035956882612588593,0.7098283931357254,0.2667836102383488,8,8
EXT_N20_katr4.0_R0.25_H36,20,4.0,0.25,36,False,584,PASS,1.2043401220331336,1.1502724746103627,0.7485388116283122,0.05239749206591061,0.761986301369863,0.5344229775232828,7,8
EXT_N20_katr4.0_R0.25_H48,20,4.0,0.25,48,False,564,PASS,1.2014755485550361,1.149510104183653,0.6456661377770486,0.059765510794377634,0.7854609929078015,0.6153223807437999,5,8
EXT_N20_katr4.0_R0.25_H14,20,4.0,0.25,14,False,657,PASS,1.249116024734137,1.1772958148759327,1.9404066179617017,0.027544287018081995,0.6879756468797564,0.2767834842567696,8,8
EXT_N20_katr4.0_R0.25_H16,20,4.0,0.25,16,False,649,PASS,1.2712219736691928,1.2003056755894517,1.6962813542971886,0.026951509684824525,0.6964560862865947,0.29292363601838645,8,8
EXT_N20_katr4.0_R0.25_H20,20,4.0,0.25,20,False,634,PASS,1.332324133972593,1.262202859454478,1.6841063415633168,0.04062964843777447,0.7208201892744479,0.25840004170938136,8,8
EXT_N20_katr4.0_R0.25_H22,20,4.0,0.25,22,False,627,PASS,1.3906101363017924,1.3185584818109566,1.6695349517885856,0.035899571162755446,0.7320574162679426,0.2566270017413413,8,8
